Random Reading Sequence,Title,Author,List Mentions,Original Order,Reading/Read
,The Odyssey,Homer,36,1,
,The Iliad,Homer,33,2,
,The Aeneid,Virgil,26,3,
,History,Herodotus,25,4,
,Oedipus the King,Sophocles,25,5,
,The Republic,Plato,24,6,
,Confessions,Augustine of Hippo,23,7,
,The Peloponnesian War,Thucydides,23,8,
,Antigone,Sophocles,22,9,
,Oedipus at Colonus,Sophocles,20,10,
,Oresteia,Aeschylus,19,11,
,On the Nature of Things,Lucretius,19,12,
,Parallel Lives,Plutarch,18,13,
,The Bible,,18,14,
,Medea,Euripides,17,15,
,Meditations,Marcus Aurelius,17,16,
,Nicomachean Ethics,Aristotle,16,17,
,The Apology,Plato,16,18,
,Poetics,Aristotle,15,19,
,The Bacchae,Euripides,14,20,
,Metamorphoses,Ovid,14,21,
,Phaedo,Plato,14,22,
,Lysistrata,Aristophanes,13,23,
,The Birds,Aristophanes,13,24,
,Crito,Plato,13,25,
,Mahabharata,Vyasa,13,26,
,Prometheus Bound,Aeschylus,12,27,
,Summa Theologiae,Thomas Aquinas,12,28,
,Analects,Confucius,12,29,
,The Clouds,Aristophanes,11,30,
,Hippolytos,Euripides,11,31,
,Odes,Horace,11,32,
,Tao te Ching,Lăozĭ,11,33,
,The Epic of Gilgamesh,,11,34,
,The Quran,,11,35,
,Politics,Aristotle,10,36,
,Symposium,Plato,10,37,
,Dialogues,Plato,10,38,
,Annals,Tacitus,10,39,
,Ramayana,Valmiki,10,40,
,The Frogs,Aristophanes,9,41,
,The City of God,Augustine of Hippo,9,42,
,Discourses,Epictetus,9,43,
,Bhagavad Gita,Vyasa,8,44,
,The Book of Job,,8,45,
,Electra,Euripides,7,46,
,The Trojan Woman,Euripides,6,47,
,The Golden Ass,Apuleius,6,48,
,On Old Age,Cicero,6,49,
,Elements,Euclid,6,50,
,Alcestis,Euripides,6,51,
,Satires,Horace,6,52,
,Epodes,Horace,6,53,
,The Recognition of Sakuntala,Kalidasa,6,54,
,History of Rome,Livy,6,55,
,True History,Lucian,6,56,
,Euthyphro,Plato,6,57,
,Enneads,Plotinus,6,58,
,Histories,Tacitus,6,59,
,Fables,Aesop,5,60,
,The Acharnians,Aristophanes,5,61,
,The Knights,Aristophanes,5,62,
,Peace,Aristophanes,5,63,
,Thesmophoriazousai,Aristophanes,5,64,
,Physics,Aristotle,5,65,
,Consolatio Philosophiae,Boethius,5,66,
,Plays,Euripides,5,67,
,Ion,Euripides,5,68,
,Works and Days,Hesiod,5,69,
,Ars Poetica,Horace,5,70,
,Poems,Catullus,5,71,
,On Friendship,Cicero,5,72,
,Mengzi,Mencius,5,73,
,Satyricon,Petronius,5,74,
,Protagoras,Plato,5,75,
,Poems,Sappho,5,76,
,Ajax,Sophocles,5,77,
,Philocetes,Sophocles,5,78,
,The Lives of the Twelve Caesars,Suetonius,5,79,
,Zhuāngzī´,Zhuāngzī,5,80,
,The Book of Genesis,,5,81,
,Ecclesiastes,,5,82,
,Don Quixote,Miguel de Cervantes,36,83,
,The Divine Commedy,Dante,33,84,
,The Canterbury Tales,Geoffrey Chaucer,30,85,
,The Prince,Niccolo Machiavelli,28,86,
,Hamlet,William Shakespeare,27,87,
,Essays,Michel de Montaigne,26,88,
,Gargantua and Pantagruel,François Rabelais,22,89,
,King Lear,William Shakespeare,21,90,
,The Tempest,William Shakespeare,20,91,
,The Arabian Nights,,17,92,
,Macbeth,William Shakespeare,16,93,
,Utopia,Thomas More,14,94,
,A Midsummer's Night Dream,William Shakespeare,14,95,
,Othello,William Shakespeare,14,96,
,Le Morte d'Arthur,Thomas Malory,13,97,
,Antony and Cleopatra,William Shakespeare,13,98,
,The First Part of Henry IV,William Shakespeare,13,99,
,Beowulf,,13,100,
,The Decameron,Giovanni Boccaccio,12,101,
,The Tale of Genji,Murasaki Shikibu,12,102,
,As You Like It,William Shakespeare,12,103,
,The Second Part of Henry IV,William Shakespeare,12,104,
,Romeo and Juliet,William Shakespeare,12,105,
,The Merchant of Venice,William Shakespeare,11,106,
,Richard III,William Shakespeare,11,107,
,Novum Organum,Francis Bacon,10,108,
,In Praise of Folly,Desiderius Erasmus,10,109,
,Doctor Faustus,Christopher Marlowe,10,110,
,Much Ado About Nothing,William Shakespeare,10,111,
,"Twelfth Night; or,  What You Will",William Shakespeare,10,112,
,Measure for Measure,William Shakespeare,10,113,
,Julius Caesar,William Shakespeare,9,114,
,Henry V,William Shakespeare,9,115,
,Richard II,William Shakespeare,9,116,
,The Taming of the Shrew,William Shakespeare,9,117,
,The Winter's Tale,William Shakespeare,9,118,
,The Song of Roland,,9,119,
,Poems,John Donne,8,120,
,All's Well That Ends Well,William Shakespeare,8,121,
,Coriolanus,William Shakespeare,8,122,
,Sonnets,William Shakespeare,8,123,
,Institutes of the Christian Religion,John Calvin,7,124,
,Autobiography,Benvenuto Cellini,7,125,
,Shahnameh,Ferdowsi,7,126,
,Volpone,Ben Jonson,7,127,
,Tamburlaine the Great,Christopher Marlowe,7,128,
,The Comedy of Errors,William Shakespeare,7,129,
,Timon of Athens,William Shakespeare,7,130,
,Troilus and Cressida,William Shakespeare,7,131,
,The Two Gentlemen of Verona,William Shakespeare,7,132,
,Sir Gawain and the Green Knight,,7,133,
,On the Revolutions of the Heavenly Spheres,Nicolas Copernicus,6,134,
,Le Cid,Pierre Corneille,6,135,
,The New Life,Dante,6,136,
,Inferno,Dante,6,137,
,The Merry Wives of Windsor,William Shakespeare,6,138,
,Love's Labour Lost,William Shakespeare,6,139,
,Cymbeline,William Shakespeare,6,140,
,Monkey,Wu Cheng'en,6,141,
,Nibelungenlied,,6,142,
,Historia Calamitatum,Pierre Abelard,5,143,
,Orlando Furioso,Ludovico Ariosto,5,144,
,Nova Atlantis,Francis Bacon,5,145,
,Polyeucte,Pierre Corneille,5,146,
,Bartholomew Fayre,Ben Jonson,5,147,
,On the Babylonian Captivity of the Church,Martin Luther,5,148,
,To the Christian Nobility of the German Nation,Martin Luther,5,149,
